30.39 s	38.482 N	
30.45 s	39.297 N	
30.52 s	38.845 N	
30.58 s	39.247 N	
30.64 s	39.473 N	
30.71 s	39.198 N	
30.77 s	39.524 N	
30.83 s	39.412 N	
30.9 s	38.729 N	
30.96 s	38.959 N	
31.02 s	38.895 N	
31.09 s	38.707 N	
31.15 s	39.432 N	
31.21 s	38.931 N	
31.28 s	39.303 N	
31.34 s	39.23 N	
31.4 s	39.447 N	
31.47 s	39.232 N	
31.53 s	38.868 N	
31.59 s	38.927 N	
31.66 s	39.766 N	
31.72 s	39.205 N	
31.78 s	38.844 N	
31.85 s	38.866 N	
31.91 s	39.566 N	
31.97 s	38.859 N	
32.04 s	39.17 N	
32.1 s	39.145 N	
32.16 s	39.387 N	
32.23 s	39.507 N	
32.29 s	39.269 N	
32.35 s	39.267 N	
32.42 s	39.256 N	
32.48 s	39.498 N	
32.55 s	39.317 N	
32.61 s	38.911 N	
32.67 s	39.133 N	
32.73 s	38.894 N	
32.8 s	39.137 N	
32.86 s	39.341 N	
32.92 s	38.988 N	
32.99 s	39.333 N	
33.05 s	39.657 N	
33.12 s	38.85 N	
33.18 s	39.013 N	
33.24 s	38.954 N	
33.3 s	39.189 N	
33.37 s	39.424 N	
33.43 s	39.084 N	
33.49 s	39.302 N	
33.56 s	39.228 N	
33.62 s	39.218 N	
33.69 s	39.017 N	
33.75 s	39.209 N	
33.81 s	39.176 N	
33.88 s	39.187 N	
33.94 s	39.209 N	
34.0 s	39.688 N	
34.07 s	39.125 N	
34.13 s	39.104 N	
34.19 s	39.343 N	
34.25 s	39.129 N	
34.32 s	39.385 N	
34.38 s	38.925 N	
34.45 s	39.49 N	
34.51 s	39.597 N	
34.57 s	38.652 N	
34.64 s	39.092 N	
34.7 s	39.29 N	
34.76 s	39.312 N	
34.83 s	39.239 N	
34.89 s	38.827 N	
34.95 s	39.915 N	
35.02 s	39.818 N	
35.08 s	38.938 N	
35.14 s	39.15 N	
35.21 s	39.236 N	
35.27 s	39.557 N	
35.33 s	39.264 N	
35.4 s	38.662 N	
35.46 s	39.702 N	
35.52 s	39.285 N	
35.59 s	38.776 N	
35.65 s	39.09 N	
35.71 s	39.187 N	
35.78 s	39.286 N	
35.84 s	39.125 N	
35.9 s	39.148 N	
35.97 s	39.669 N	
36.03 s	38.985 N	
36.09 s	39.172 N	
36.16 s	39.499 N	
36.22 s	39.139 N	
36.28 s	39.291 N	
36.35 s	38.965 N	
36.41 s	39.293 N	
36.47 s	39.19 N	
36.54 s	38.691 N	
36.6 s	39.048 N	
36.66 s	39.248 N	
36.73 s	39.012 N	
36.79 s	39.066 N	
36.85 s	38.722 N	
36.92 s	39.568 N	
36.98 s	39.132 N	
37.04 s	38.811 N	
37.11 s	39.109 N	
37.17 s	39.707 N	
37.23 s	39.07 N	
37.3 s	38.901 N	
37.36 s	38.858 N	
37.42 s	39.683 N	
37.49 s	38.734 N	
37.55 s	38.98 N	
37.61 s	39.217 N	
37.68 s	39.461 N	
37.74 s	39.135 N	
37.8 s	39.045 N	
37.87 s	38.92 N	
37.93 s	39.71 N	
38.0 s	38.538 N	
38.06 s	39.258 N	
38.12 s	39.434 N	
38.19 s	39.19 N	
38.25 s	39.005 N	
38.31 s	39.199 N	
38.37 s	39.215 N	
38.44 s	39.465 N	
38.5 s	38.498 N	
38.57 s	39.4 N	
38.63 s	39.387 N	
38.69 s	39.429 N	
38.76 s	39.11 N	
38.82 s	38.984 N	
38.88 s	39.368 N	
38.94 s	39.241 N	
39.01 s	38.329 N	
39.07 s	39.507 N	
39.14 s	39.185 N	
39.2 s	39.46 N	
39.26 s	39.016 N	
39.33 s	39.017 N	
39.39 s	39.617 N	
39.45 s	38.977 N	
39.52 s	38.708 N	
39.58 s	39.411 N	
39.64 s	39.288 N	
39.71 s	39.439 N	
39.77 s	38.817 N	
39.83 s	39.212 N	
39.9 s	39.723 N	
39.96 s	38.821 N	
40.02 s	38.799 N	
40.09 s	39.557 N	
40.15 s	39.135 N	
40.21 s	39.534 N	
40.28 s	38.748 N	
40.34 s	39.443 N	
40.4 s	39.395 N	
40.47 s	38.761 N	
40.53 s	39.058 N	
40.59 s	39.369 N	
40.66 s	39.403 N	
40.72 s	39.471 N	
40.78 s	38.693 N	
40.85 s	39.409 N	
40.91 s	39.138 N	
40.97 s	38.699 N	
41.04 s	39.294 N	
41.1 s	39.309 N	
41.16 s	39.514 N	
41.23 s	39.547 N	
41.29 s	39.008 N	
41.35 s	39.363 N	
41.42 s	39.061 N	
41.48 s	38.743 N	
41.54 s	39.178 N	
41.61 s	39.093 N	
41.67 s	39.482 N	
41.73 s	38.94 N	
41.8 s	39.08 N	
41.86 s	39.177 N	
41.92 s	38.902 N	
41.99 s	38.698 N	
42.05 s	39.35 N	
42.11 s	39.128 N	
42.18 s	39.655 N	
42.24 s	39.033 N	
42.3 s	39.404 N	
42.37 s	39.197 N	
42.43 s	38.883 N	
42.49 s	39.035 N	
42.56 s	39.007 N	
42.62 s	39.279 N	
42.68 s	39.508 N	
42.75 s	38.831 N	
42.81 s	39.563 N	
42.87 s	39.016 N	
42.94 s	38.955 N	
43.0 s	39.285 N	
43.06 s	39.054 N	
43.13 s	39.176 N	
43.19 s	39.443 N	
43.25 s	39.107 N	
43.32 s	39.258 N	
43.38 s	38.952 N	
43.44 s	38.751 N	
43.51 s	39.232 N	
43.57 s	38.939 N	
43.63 s	39.251 N	
43.7 s	39.112 N	
43.76 s	39.326 N	
43.83 s	39.133 N	
43.89 s	38.636 N	
43.95 s	38.979 N	
44.02 s	39.342 N	
44.08 s	38.991 N	
44.14 s	39.121 N	
44.21 s	38.95 N	
44.27 s	39.411 N	
44.33 s	39.024 N	
44.39 s	39.016 N	
44.46 s	39.042 N	
44.52 s	39.036 N	
44.59 s	39.123 N	
44.65 s	39.3 N	
44.71 s	38.801 N	
44.78 s	39.565 N	
44.84 s	39.01 N	
44.9 s	38.739 N	
44.97 s	39.212 N	
45.03 s	38.953 N	
45.09 s	38.952 N	
45.16 s	39.392 N	
45.22 s	39.161 N	
45.28 s	39.448 N	
45.34 s	39.092 N	
45.41 s	39.341 N	
45.47 s	38.978 N	
45.54 s	38.871 N	
45.6 s	38.959 N	
45.66 s	39.306 N	
45.72 s	38.933 N	
45.79 s	38.929 N	
45.85 s	38.532 N	
45.92 s	39.274 N	
45.98 s	39.292 N	
46.04 s	38.949 N	
46.11 s	39.225 N	
46.17 s	39.745 N	
46.23 s	39.066 N	
46.3 s	39.364 N	
46.36 s	38.743 N	
46.42 s	39.524 N	
46.49 s	39.028 N	
46.55 s	39.181 N	
46.61 s	39.881 N	
46.68 s	39.492 N	
46.74 s	38.187 N	
46.8 s	38.475 N	
46.87 s	38.931 N	
46.93 s	40.096 N	
46.99 s	39.237 N	
47.06 s	39.589 N	
47.12 s	38.594 N	
47.18 s	39.208 N	
47.25 s	39.147 N	
47.31 s	39.375 N	
47.37 s	39.52 N	
47.44 s	39.686 N	
47.5 s	37.163 N	
47.56 s	46.565 N	
47.63 s	36.16 N	
47.69 s	39.917 N	
47.75 s	40.825 N	
47.82 s	39.125 N	
47.88 s	39.77 N	
47.94 s	39.156 N	
48.01 s	38.982 N	
48.07 s	39.22 N	
48.13 s	39.8 N	
48.2 s	41.903 N	
48.26 s	38.648 N	
48.32 s	38.046 N	
48.39 s	40.752 N	
48.45 s	39.066 N	
48.51 s	41.851 N	
48.58 s	48.946 N	
48.64 s	34.331 N	
48.7 s	49.036 N	
48.77 s	36.482 N	
57.48 s	44.567 N	
57.59 s	43.358 N	
57.73 s	35.585 N	
57.84 s	43.178 N	
57.97 s	39.05 N	
58.08 s	39.967 N	
58.19 s	43.102 N	
58.3 s	37.065 N	
58.39 s	43.229 N	
58.5 s	38.192 N	
58.6 s	38.413 N	
58.7 s	40.629 N	
58.8 s	39.588 N	
58.91 s	38.591 N	
59.03 s	38.733 N	
59.15 s	36.608 N	
59.29 s	39.146 N	
59.4 s	37.81 N	
59.51 s	39.57 N	
59.62 s	40.836 N	
59.72 s	39.073 N	
59.84 s	39.836 N	
59.93 s	37.779 N	
60.03 s	38.862 N	
60.13 s	39.666 N	
60.23 s	39.86 N	
60.34 s	38.58 N	
60.44 s	39.154 N	
60.55 s	38.846 N	
60.67 s	41.119 N	
60.79 s	38.276 N	
60.95 s	38.259 N	
61.1 s	38.975 N	
61.25 s	39.783 N	
61.38 s	39.324 N	
61.53 s	38.891 N	
61.66 s	37.915 N	
61.78 s	39.459 N	
61.9 s	38.34 N	
62.02 s	39.885 N	
62.13 s	38.426 N	
62.24 s	39.245 N	
62.37 s	39.492 N	
62.47 s	39.107 N	
62.58 s	38.888 N	
62.7 s	39.138 N	
62.82 s	36.702 N	
62.94 s	39.533 N	
63.05 s	38.127 N	
63.16 s	39.681 N	
63.27 s	38.897 N	
63.38 s	39.162 N	
63.48 s	39.266 N	
63.58 s	39.032 N	
63.69 s	38.247 N	
63.79 s	38.67 N	
63.9 s	38.567 N	
64.0 s	38.976 N	
64.11 s	38.168 N	
64.21 s	38.669 N	
64.32 s	39.055 N	
64.43 s	38.708 N	
64.53 s	38.587 N	
64.65 s	39.018 N	
64.78 s	38.814 N	
64.88 s	38.284 N	
64.99 s	40.893 N	
65.09 s	34.301 N	
65.19 s	48.864 N	
65.29 s	35.706 N	
65.4 s	43.919 N	
65.5 s	49.743 N	
65.61 s	40.217 N	
65.72 s	40.911 N	
65.83 s	46.82 N	
65.93 s	38.212 N	
66.05 s	37.628 N	
66.17 s	47.178 N	
66.29 s	40.515 N	
66.39 s	34.07 N	
66.5 s	41.374 N	
66.61 s	45.109 N	
66.73 s	34.55 N	
66.86 s	45.954 N	
66.98 s	36.801 N	
67.1 s	42.287 N	
67.21 s	40.276 N	
67.31 s	38.723 N	
67.44 s	37.882 N	
67.55 s	38.051 N	
67.66 s	37.954 N	
67.76 s	38.252 N	
67.87 s	38.386 N	
67.98 s	38.498 N	
68.09 s	38.196 N	
68.19 s	38.737 N	
68.29 s	38.271 N	
68.4 s	38.753 N	
68.5 s	38.3 N	
68.63 s	37.926 N	
68.74 s	38.09 N	
68.84 s	38.613 N	
68.96 s	38.292 N	
69.07 s	38.75 N	
69.17 s	38.577 N	
69.28 s	38.151 N	
69.4 s	38.32 N	
69.5 s	38.23 N	
69.62 s	38.733 N	
69.72 s	38.192 N	
69.83 s	38.264 N	
69.94 s	38.91 N	
70.04 s	38.62 N	
70.16 s	38.098 N	
70.27 s	38.424 N	
70.38 s	38.834 N	
70.48 s	38.588 N	
70.58 s	38.548 N	
70.69 s	38.656 N	
70.81 s	38.627 N	
70.94 s	38.449 N	
71.09 s	38.449 N	
71.2 s	38.59 N	
71.3 s	38.497 N	
71.42 s	37.948 N	
71.54 s	38.446 N	
71.66 s	38.451 N	
71.77 s	38.426 N	
71.87 s	38.621 N	
71.98 s	38.413 N	
72.09 s	38.834 N	
72.2 s	38.064 N	
72.31 s	38.863 N	
72.42 s	38.061 N	
72.53 s	38.724 N	
72.64 s	38.68 N	
72.74 s	38.417 N	
72.86 s	38.757 N	
72.97 s	38.864 N	
73.08 s	38.411 N	
73.21 s	38.15 N	
73.33 s	38.151 N	
73.46 s	38.177 N	
73.58 s	38.388 N	
73.7 s	38.631 N	
73.82 s	38.656 N	
73.95 s	38.278 N	
74.06 s	38.105 N	
74.18 s	38.383 N	
74.29 s	38.292 N	
74.4 s	38.857 N	
74.52 s	38.445 N	
74.63 s	38.12 N	
74.74 s	38.224 N	
74.85 s	38.155 N	
74.96 s	38.319 N	
75.07 s	38.664 N	
75.17 s	46.067 N	
75.3 s	38.974 N	
75.41 s	38.304 N	
75.52 s	37.758 N	
75.62 s	28.631 N	
75.72 s	38.145 N	
75.83 s	37.781 N	
75.93 s	39.054 N	
76.03 s	38.4 N	
76.14 s	38.153 N	
76.24 s	39.24 N	
76.34 s	37.746 N	
76.44 s	39.236 N	
76.54 s	37.561 N	
76.64 s	39.323 N	
76.74 s	38.791 N	
76.85 s	38.449 N	
76.95 s	38.137 N	
77.06 s	38.7 N	
77.16 s	39.375 N	
77.26 s	37.171 N	
77.38 s	39.068 N	
77.48 s	38.557 N	
77.58 s	37.374 N	
77.69 s	38.027 N	
77.79 s	38.615 N	
77.89 s	37.981 N	
77.99 s	37.341 N	
78.09 s	39.813 N	
78.18 s	39.676 N	
78.27 s	39.406 N	
78.36 s	38.306 N	
78.46 s	38.612 N	
78.55 s	38.084 N	
78.64 s	28.383 N	
78.73 s	38.356 N	
78.83 s	38.55 N	
